날짜,종가,시가,고가,저가,거래량,변동률,RSI_14,MACD,신호선,MA5,MA20,MA60
2025-07-29,"3,230.57","3,192.17","3,232.31","3,169.03",373.20M,0.66%,32.24357133138824,-25.09521319378291,-42.7427618383284,3199.528,3191.84,3383.010166666667
2025-07-28,"3,209.52","3,228.61","3,228.61","3,180.18",502.72M,0.42%,32.24357133138824,-22.94850075169461,-38.78390962100164,3211.882,3193.348,3369.1216666666664
2025-07-25,"3,196.05","3,184.37","3,205.82","3,184.37",389.29M,0.18%,32.24357133138824,-22.079612077674938,-35.4430501123363,3227.21,3192.6575000000003,3356.6959999999995
2025-07-24,"3,190.45","3,209.43","3,237.97","3,183.05",425.50M,0.21%,32.24357133138824,-21.593962978910895,-32.67323268565122,3216.212,3193.7434999999996,3345.7774999999997
2025-07-23,"3,183.77","3,189.65","3,199.86","3,141.93",664.83M,0.44%,32.24357133138824,-21.500261115446847,-30.43863837161035,3202.072,3195.8450000000003,3334.112333333333
2025-07-22,"3,169.94","3,210.12","3,220.27","3,155.25",378.49M,-1.27%,32.24357133138824,-22.285078617115687,-28.807926420711418,3189.946,3197.8375,3323.214
2025-07-21,"3,210.81","3,191.11","3,211.14","3,188.87",343.91M,0.71%,32.24357133138824,-19.385718213954533,-26.923484779360045,3190.204,3200.8,3313.1493333333333
2025-07-18,"3,188.07","3,200.44","3,204.75","3,169.69",393.45M,-0.13%,32.24357133138824,-18.70723677884007,-25.28023517925605,3188.608,3201.3395,3303.802333333333
2025-07-17,"3,192.29","3,201.42","3,201.42","3,152.42",424.79M,0.19%,32.24357133138824,-17.625836944732782,-23.749355532351398,3188.976,3199.6710000000003,3294.5343333333335
2025-07-16,"3,186.38","3,207.48","3,209.20","3,178.42",531.50M,-0.90%,32.24357133138824,-17.049175115220805,-22.40931944892528,3189.498,3197.7715,3286.686
2025-07-15,"3,215.28","3,194.82","3,216.01","3,183.83",419.65M,0.41%,32.24357133138824,-14.097668837224319,-20.746989326585087,3198.566,3199.04,3280.9105
2025-07-14,"3,202.03","3,175.59","3,202.06","3,170.72",444.04M,0.83%,32.24357133138824,-12.68155800589193,-19.133903062446457,3196.81,3198.803,3274.535166666667
2025-07-11,"3,175.77","3,186.35","3,216.69","3,170.46",465.29M,-0.23%,32.24357133138824,-13.52236509808563,-18.011595469574292,3194.35,3197.091,3267.288
2025-07-10,"3,183.23","3,144.14","3,183.23","3,133.81",596.57M,1.58%,32.24357133138824,-13.431916351535165,-17.095659645966467,3192.5379999999996,3194.8684999999996,3261.1883333333335
2025-07-09,"3,133.74","3,123.22","3,137.17","3,111.02",642.96M,0.60%,32.24357133138824,-17.155901905075098,-17.107708097788194,3182.0099999999998,3191.6485000000002,3254.263833333333
2025-07-08,"3,114.95","3,071.74","3,115.86","3,066.03",745.79M,1.81%,32.24357133138824,-21.376962929585716,-17.9615590641477,3161.944,3187.496,3248.5825
2025-07-07,"3,059.47","3,044.78","3,068.43","3,032.99",359.40M,0.17%,32.24357133138824,-28.866204895460214,-20.142488230410205,3133.432,3183.082,3242.4970000000003
